ID;STAY1;STAY2;STAY;REC1;REC2;REC;MOT1;MOT2;MOT;HOL_IMP;HOL_IMP Comments;General Comments; ;FEEDBACK1;FEEDBACK2;FEEDBACK3;FEEDBACK4;FEEDBACK5;FEEDBACK;CLARITY1;CLARITY2;CLARITY3;CLARITY;ACCURACY1;ACCURACY2;ACCURACY3;ACCURACY;FAIR1;FAIR2;FAIR3;FAIR;SELF_AWARE1;SELF_AWARE2;SELF_AWARE3;SELF_AWARE;INTENT_USE1;INTENT_USE2;INTENT_USE3;INTENT_USE;IMPACT;ROLE_FIT;WORK_MEANING;TENSION;GOAL_FIT;EMPOWER;ACCOUNT;Age Bracket;Tenure;Dev/Non;Holacracy Wave;GENDER;LOCATION
1;3;4;3,5;4;4;4;4;4;4;3;;; ;5;4;5;5;5;4,8;4;4;4;4,00;5;5;4;4,67;3;3;3;3,00;4;4;4;4,00;5;5;5;5,00;3;2;3;4;4;4;5;3;2;1;5;1;1
2;2;2;2;4;4;4;3;3;3;3;Holacracy has done some good but on the other hand we sugar-coat things and people are not really being held accountable for their work.;My experience at iQ has been great. I do the work that is required of me and more. I always held myself accountable for my actions thus great productivity to get the work done even if that means working tons of overtime. My Lead has been a major factor with my push. I think that there should be some sort of compensation for numerous overtime as my mentality is I get the work done regardless of pay compensation and if I do for long periods, there should be some reward. A company does not want to have their employee saying they will not work long hours to get what is required done and meet deadlines for reason of not getting rewarded. We tend to be blind by politics in the company thus overlooking issues some employees have.; ;5;4;3;3;3;3,6;4;4;4;4,00;4;4;4;4,00;3;3;3;3,00;4;4;4;4,00;4;4;4;4,00;4;4;4;3;4;4;3;2;5;1;5;1;1
3;4;4;4;4;5;4,5;4;4;4;4;;; ;5;4;4;2;2;3,4;4;4;4;4,00;4;4;4;4,00;4;4;4;4,00;4;4;4;4,00;5;5;5;5,00;5;4;4;4;4;4;4;3;5;2;3;2;2
4;2;2;2;4;3;3,5;2;2;2;3;"Yes and no.  Some areas have improved greatly, others seem to use Holacracy as a get out of jail free card. ""It's not my accountability"" or ""that's not my job"" is heard a lot.";All comments, from every survey should be taken seriously.  It is illegal to have your employees work overtime with no compensation.  It is also unfair to pick and choose which teams receive overtime compensation.  Titles matter, seniority is considered here, stop saying it's not, there absolutely are favorites here and we all see it.  Remember the little people.  Politics are everywhere, even at iQ, saying they aren't and not addressing the problem doesn't make it go away.; ;2;5;4;4;4;3,8;2;3;2;2,33;2;3;2;2,33;3;2;2;2,33;4;4;3;3,67;4;4;4;4,00;4;4;4;4;4;4;2;2;6;1;5;1;1
5;4;2;3;4;3;3,5;4;4;4;3;;; ;4;4;4;4;4;4;4;4;4;4,00;4;4;4;4,00;4;4;3;3,67;4;4;3;3,67;5;5;5;5,00;4;4;4;4;4;4;4;3;4;2;3;1;3
6;5;5;5;5;5;5;4;5;4,5;3;;; ;2;2;2;3;3;2,4;3;2;2;2,33;2;2;3;2,33;3;3;3;3,00;4;5;4;4,33;4;1;1;2,00;4;4;5;3;4;4;3;3;3;1;5;1;1
7;5;5;5;5;5;5;5;4;4,5;3;;; ;4;4;5;4;5;4,4;5;5;5;5,00;5;5;5;5,00;5;5;5;5,00;4;5;5;4,67;5;5;5;5,00;5;4;4;3;4;4;4;2;1;1;5;2;4
8;4;4;4;4;5;4,5;4;4;4;3;;; ;4;2;4;4;4;3,6;4;4;4;4,00;4;4;4;4,00;3;3;3;3,00;2;4;4;3,33;4;4;4;4,00;2;4;2;2;2;2;2;1;3;1;1;1;2
9;3;4;3,5;4;4;4;4;3;3,5;3;;; ;2;2;4;4;4;3,2;4;4;4;4,00;3;3;3;3,00;4;4;4;4,00;4;3;3;3,33;4;4;4;4,00;3;4;3;4;4;4;4;2;3;2;1;2;2
10;;2;2;3;4;3,5;4;4;4;3;;i would like more feedback on my performance and how to improve in any way i can in my role; ;2;4;4;4;2;3,2;3;4;2;3,00;2;3;3;2,67;2;4;3;3,00;4;4;2;3,33;4;3;4;3,67;4;4;4;2;4;4;4;2;3;1;5;1;1
11;4;4;4;5;4;4,5;4;3;3,5;3;;Receiving regular feedback from your lead is vital to your success. When you are not receiving that feedback because the Lead Link is too busy or overwhelmed it slows the developmental process. Regular feedback is vital to my success at iQmetrix and as a person.; ;2;4;4;5;5;4;1;1;1;1,00;1;1;2;1,33;2;2;2;2,00;4;5;2;3,67;4;4;3;3,67;3;2;3;2;4;3;2;4;5;2;3;1;3
12;5;5;5;5;5;5;5;4;4,5;3;;; ;5;4;5;4;5;4,6;5;5;5;5,00;5;5;4;4,67;4;4;4;4,00;5;5;4;4,67;4;5;5;4,67;4;5;4;4;4;4;4;2;5;2;3;1;2
13;4;4;4;4;4;4;4;4;4;3;;; ;4;4;4;4;4;4;4;4;4;4,00;4;4;4;4,00;4;4;4;4,00;4;4;4;4,00;4;4;4;4,00;4;4;3;4;4;4;4;2;6;1;2;2;5
14;5;5;5;5;5;5;5;5;5;;;; ;5;4;4;5;5;4,6;5;5;5;5,00;4;5;4;4,33;4;4;4;4,00;5;5;5;5,00;5;5;5;5,00;5;5;5;4;4;4;1;2;3;1;3;1;1
15;4;4;4;5;4;4,5;4;3;3,5;4;;; ;3;3;4;2;2;2,8;4;4;4;4,00;4;4;4;4,00;4;3;4;3,67;4;5;5;4,67;4;4;4;4,00;4;4;4;4;5;4;4;2;4;2;5;2;1
16;4;2;3;4;4;4;3;4;3,5;3;;; ;4;4;4;3;3;3,6;4;4;4;4,00;4;3;3;3,33;4;4;4;4,00;2;4;3;3,00;4;4;4;4,00;4;2;2;4;4;4;4;2;6;2;3;2;2
